Class Label,Folder Name,Plant,Disease,Solution 1,Link 1,Solution 2,Link 2
0,Apple___Apple_scab,Apple,Apple Scab,"Choose Scab-Resistant Cultivars like - Crimson Crisp,
Crismos Gold, Pristine etc",https://www.planetnatural.com/pest-problem-solver/plant-disease/apple-scab/,Shred fallen leaves in autumn/winter. Spray fallen leaves with urea,https://shorturl.at/2zzL0
1,Apple___Black_rot,Apple,Black Rot,Prune out dead or diseased branches.,https://extension.umn.edu/plant-diseases/black-rot-apple,All the infected plant should be burned buried or sent to a munciple composite site.,https://extension.umn.edu/plant-diseases/black-rot-apple
2,Apple___Cedar_apple_rust,Apple,Cedar Apple Rust,Applying Preventive sprays of copper-based fungicides,https://www.gardenia.net/disease/cedar-apple-rust,Removing nearby cedar trees,https://www.gardenia.net/disease/cedar-apple-rust
3,Bell_pepper___Bacterial_spot,Bell Pepper,Bacterial Spot,"Use of Actigard in Chile Peppers",https://edis.ifas.ufl.edu/publication/PP362,Use indexed pathogen-negative seed,https://ipm.ucanr.edu/agriculture/peppers/bacterial-spot/#gsc.tab=0
4,Cherry_(including_sour)___Powdery_mildew,Cherry (including sour),Powdery Mildew,Fungicides that are active against brown rot and Botrytis,https://ipm.ucanr.edu/agriculture/cherry/powdery-mildew/#gsc.tab=0,Avoid early irrigation as this may cause premature powdery mildew infections to rise.,https://shorturl.at/IVx2M
5,Corn_(maize)___Cercospora_leaf_spot or Gray_leaf_spot,Corn (maize),Cercospora Leaf Spot or Gray Leaf Spot,Epidemic’s onset and/or slows the rate of disease development.,https://shorturl.at/98SCl,Hybrids with partial resistance to GLS are available. Ask your seed supplier for these hybrids.,https://shorturl.at/FUEam
6,Corn_(maize)___Common_rust_,Corn (maize),Common Rust,Use triazole-based fungicides to control common rust on maize.,"https://badgercropdoc.com/2024/08/29/southern-rust-of-corn-in-wisconsin/#:~:text=Common%20rust%20is%20caused%20by,very%20resistant%20to%20the%20disease.",Plant corn varieties that are resistant to common rust to reduce the risk of infection.,https://www.extension.purdue.edu/extmedia/bp/bp-82-w.pdf
7,Corn_(maize)___Northern_Leaf_Blight,Corn (maize),Northern Leaf Blight,Use fungicides such as strobilurins or triazoles to control northern leaf blight.,https://extensionpubs.unl.edu/publication/g2270/2016/pdf/view/g2270-2016.pdf,Plant hybrids resistant to northern leaf blight to reduce the risk of disease.,https://crops.extension.iastate.edu/cropnews/2015/07/update-northern-corn-leaf-blight-iowa
8,Grape___Black_rot,Grape,Black Rot,"Culture, Sanitation",https://portal.ct.gov/caes/fact-sheets/plant-pathology/disease-control-for-home-grape-plantings,"Resistance, Fungicide Sprays",https://portal.ct.gov/caes/fact-sheets/plant-pathology/disease-control-for-home-grape-plantings
9,Grape___Esca_(Black_Measles),Grape,Esca (Black Measles),"Remove infected wood, and apply fungicides to reduce spread.",https://ipm.ucanr.edu/agriculture/grape/esca-black-measles/#gsc.tab=0,Use resistant grapevine varieties and apply preventative fungicides during key growth stages to reduce the risk of Esca infection,https://molhort.biomedcentral.com/articles/10.1186/s43897-024-00119-x?utm_source=chatgpt.com
10,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape,Leaf Blight (Isariopsis Leaf Spot),Remove and destroy affected leaves to reduce the spread of Isariopsis Leaf Spot,https://ipm.ucanr.edu/agriculture/grape/#gsc.tab=0,Use fungicides like chlorothalonil or sulfur to control the disease during active growth.,https://www.missouribotanicalgarden.org/gardens-gardening/your-garden/help-for-the-home-gardener/advice-tips-resources/insects-pests-and-problems/diseases/downy-mildew/downy-mildew-of-grapes
11,Orange___Haunglongbing_(Citrus_greening),Orange,Haunglongbing (Citrus greening),Remove infected trees to limit the spread of Huanglongbing in your orchard,https://crec.ifas.ufl.edu/research/citrus-production/disease-identification/citrus-greening-huanglongbing/,Control the vector (Asian citrus psyllid) with insecticides to prevent the spread of the bacteria.,https://crec.ifas.ufl.edu/research/citrus-production/disease-identification/citrus-greening-huanglongbing/
12,Peach___Bacterial_spot,Peach,Bacterial Spot,Apply copper-based fungicides to protect peach trees from bacterial infections.,https://extension.uga.edu/publications/detail.html?number=C1063&title=home-garden-peaches,Remove infected leaves and fruit to reduce bacterial spread.,https://www.canr.msu.edu/ipm/agriculture/fruit/bacterial_spot_of_peach_and_plum
13,Potato___Early_blight,Potato,Early Blight,Use chlorothalonil-based fungicides to control early blight and prevent further spread.,"https://extension.umn.edu/disease-management/early-blight-tomato-and-potato#:~:text=Early%20blight%20typically%20appears%20in,as%20soon%20as%20it%20appears.&text=There%20are%20many%20resistant%20tomato,%22EB%22%20in%20seed%20catalogs.",Rotate crops to reduce the buildup of early blight pathogens in the soil.,https://www.cropscience.bayer.us/articles/cp/early-blight-potatoes
14,Potato___Late_blight,Potato,Late Blight,Use fungicides with metalaxyl to control late blight during wet weather conditions.,https://extension.psu.edu/tomato-potato-late-blight-in-the-home-garden,Remove and destroy infected potato plants to prevent late blight from spreading.,"https://www.canr.msu.edu/news/tomato_late_blight_pressure_is_high#:~:text=Late%20blight%20symptoms%20include%20blighting,and%20humid%20(Photo%201)."
15,Squash___Powdery_mildew,Squash,Powdery Mildew,Use fungicides like neem oil or sulfur to treat and control powdery mildew on squash.,"https://ipm.ucanr.edu/QT/powderymildewcard.html#:~:text=Powdery%20mildew%20is%20common%20in,and%20shade%20encourage%20the%20disease.",Improve air circulation by spacing plants adequately and pruning leaves to reduce humidity and mildew growth.,https://extension.colostate.edu/topic-areas/yard-garden/powdery-mildews-2-902/
16,Strawberry___Leaf_scorch,Strawberry,Leaf Scorch,"Water strawberries properly, avoiding overhead watering, and using drip irrigation to prevent leaf scorch.",https://extension.umd.edu/resource/bruising-strawberry-leaves-0,"Apply mulch around strawberry plants to conserve soil moisture and protect roots from heat stress, reducing leaf scorch.",https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2119&context=agext
17,Tomato___Bacterial_spot,Tomato,Bacterial Spot,"Remove symptomatic plants from your garden or greenhouse to prevent the spread of bacteria to healthy 
plants.",https://hort.extension.wisc.edu/articles/bacterial-spot-of-tomato/,Copper-containing bactericides provide partial disease control.,https://ipm.ucanr.edu/agriculture/tomato/bacterial-spot/#gsc.tab=0
18,Tomato___Early_blight,Tomato,Early Blight,Removal of selected branches from individual plants,https://shorturl.at/Qe8BK,Fungicides labeled for use on vegetables and containing copper or chlorothalonil ,https://shorturl.at/Qe8BK
19,Tomato___Late_blight,Tomato,Late Blight,Bury culled potatoes; do not throw them on the compost pile.,https://www.gov.mb.ca/agriculture/crops/plant-diseases/late-blight-disease-mgmt.html,Buy certified seed potatoes to reduce the risk of introducing late blight.,https://www.gov.mb.ca/agriculture/crops/plant-diseases/late-blight-disease-mgmt.html
20,Tomato___Leaf_Mold,Tomato,Leaf Mold,"Avoid overhead irrigation, and promote good airflow within the canopy",https://shorturl.at/cDEmt,Open vents on greenhouses or roll-up sidewalls on high tunnels to keep humidity levels below the favorable range,"https://www.vegetables.bayer.com/ca/en-ca/resources/agronomic-spotlights/two-tomato-leaf-mold-diseases.html#:~:text=Avoid%20overhead%20irrigation%2C%20and%20promote,11"
21,Tomato___Septoria_leaf_spot,Tomato,Septoria Leaf Spot,Prune and destroy infected leaves and plant debris to reduce the spread of Septoria leaf spot.,https://extension.umd.edu/resources/yard-garden/vegetables/tomatoes/,Use fungicides like chlorothalonil or copper-based products to prevent and manage Septoria leaf spot.,https://extension.psu.edu/do-these-tomato-plants-have-septoria-leaf-spot-or-early-blight
22,Tomato___Spider_mites Two-spotted_spider_mite,Tomato,Spider Mites or Two-Spotted Spider Mite,Use miticides or insecticidal soap to control spider mites on tomato plants,https://ipm.ucanr.edu/agriculture/alfalfa/spider-mites/#gsc.tab=0,Increase humidity and ensure adequate watering to create an unfavorable environment for spider mites.,"https://www.canr.msu.edu/news/spider_mites_showing#:~:text=Mites%20are%20best%20seen%20with,undersides%20of%20leaves%2C%20plus%20webbing."
23,Tomato___Target_Spot,Tomato,Target Spot,Use fungicides containing pyraclostrobin or fluopyram to control target spot on tomato plants.,https://site.extension.uga.edu/cook/2021/07/cotton-target-spot/,Rotate crops to prevent the buildup of target spot pathogens in the soil.,https://cropprotectionnetwork.org/encyclopedia/target-spot-of-cotton
24,Tomato___Tomato_mosaic_virus,Tomato,Tomato Mosaic Virus,Remove and destroy infected plants to prevent the virus from spreading to healthy tomatoes.,https://www.vegetables.cornell.edu/pest-management/keys-for-identifying-vegetable-diseases/tomato-diagnostic-key/symptoms-on-leaves/virus-symptoms/,Plant virus-free seeds and consider using resistant tomato varieties to prevent infection.,https://ipm.ucanr.edu/agriculture/tomato/mosaic-diseases-caused-by-potyviruses/#gsc.tab=0
25,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato,Tomato Yellow Leaf Curl Virus,"Apply insecticides to control whiteflies, which are the vectors of the tomato yellow leaf curl virus.","https://plantpath.ifas.ufl.edu/u-scout/tomato/tomato-yellow-leaf-curl.html#:~:text=Spread%20of%20TYLC%20is%20by,not%20transmitted%20through%20their%20eggs.",Remove infected tomato plants and weeds that could harbor the virus and whiteflies,https://ag.purdue.edu/department/arge/swpap/tomato-diseases.html
